Course,Course__FAA_,Title,Period,Division,Branch,Type,Delivery,Is_Active__course_,Is_Cancelled__course_,Cancelled_Date__course_,Class,Class_Start,Class_End,Is_Active__class_,Is_Cancelled__class_,Cancelled_Date__class_,Class_Favorability,Class_Favorability__eoc_,Class_Favorability__post_,Evaluations_Completed,Evaluations_Sent,Completion_Rate,Evaluation,Sent_Date,Completed_Date,Is_Completed,Days_to_Complete_Evaluation,Evaluation_Favorability,Question,Type__question_,Subtype__question_,Metric,Statement,Sort__question_,Statement__short_,Answer,Sentiment,Degree,Attitude,Response__positive_,Response__negative_,Sort__sentiment_,Comment,Comments_per_Eval,Category,Comment_Date,Is_Duplicate,Length__original_,Length,Word_Count,Sentence_Count,Question_Count,Exclamation_Count,Comments,Date,Use_Date,FY_Start,FY_End,Is_Holiday,Is_Weekday,Is_Last_Day_of_Month
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212271,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,0.933333,2,End of Course,Resident,Delivery,Th,26,In,1,St,St,Po,1,0,1,221318,8,Statement,13JAN2017:00:00:00.000,N,161,161,32,3,0,1,If someone didn't get it the first time Jeff would try to explain it in a different way so the student would understand. Jeff was a big help! Jeff needs a raise.,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212275,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,1,7,End of Course,Resident,Learning Enviro,Th,7,Di,2,Ag,No,Po,1,0,2,221313,5,Statement,13JAN2017:00:00:00.000,N,319,319,56,3,0,0,I would say the worst distraction I felt during this entire process was seeing other students who did not pass being paraded through the halls. That is not the type of message that should be given to students to encourage their study habits and passing. I'm honestly not even sure h,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96957,20OCT2016:00:00:00.000,18JAN2017:00:00:00.000,Y,N,,0.928571,0.951127,1,40,55,0.727272,1161212275,12DEC2016:00:00:00.000,13JAN2017:00:00:00.000,Y,32,1,1,End of Course,Resident,Performance Tes,Th,11,La,2,Ag,No,Po,1,0,2,221314,5,Statement,13JAN2017:00:00:00.000,N,311,311,56,3,0,0,There were areas that could use improvement. If we are expected to understand overtake situations than we need to be taught how to better use the actual radar scope and vector lines. There is zero time spent teaching you how to use the radar scope yet we are expected to use it comp,20161020,20OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123421,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,0.866666,5,End of Course,Resident,Course Curricul,Th,5,Ma,4,So,Mi,Ne,0,1,4,216464,4,Statement,28NOV2016:00:00:00.000,N,61,61,12,1,0,0,Seems as though the books are getting to be a little outdated,20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,102966,31OCT2016:00:00:00.000,27JAN2017:00:00:00.000,Y,N,,0.956912,0.981273,1,45,71,0.633802,1161130371,30NOV2016:00:00:00.000,12DEC2016:00:00:00.000,Y,12,0.928571,2,Intermediate Co,Intermedia,Learning Enviro,Th,7,Di,5,Di,No,Ne,0,1,5,218109,2,Statement,12DEC2016:00:00:00.000,N,61,61,9,1,0,0,Lots of talking among students while instructors are talking.,20161031,31OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,Y
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123424,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,1,1,End of Course,Resident,Delivery,Th,1,In,2,Ag,No,Po,1,0,2,216473,5,Statement,28NOV2016:00:00:00.000,N,353,353,62,3,0,0,Our class had six instructors over the course of the month. They were all knowledgeable but most of them were not familiar with the en route environment which is the focus of our class. It would have been nice to have instructors familiar with the field we will be entering but it w,20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123424,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,1,2,End of Course,Resident,Delivery,Th,26,In,2,Ag,No,Po,1,0,2,216474,5,Statement,28NOV2016:00:00:00.000,N,779,779,136,7,0,0,"It is clear the instructors do not have a background in education as some of them teach in a dry, direct from the book manner. While all of them told stories to keep the material relatable, interesting etc. some got off topic constantly and wasted a lot of class time, telling stori",20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123424,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,1,5,End of Course,Resident,Course Curricul,Th,5,Ma,3,So,Mi,Po,1,0,3,216475,5,Statement,28NOV2016:00:00:00.000,N,129,129,26,1,0,0,Some of our lessons seemed to be behind the times in terms of what is currently going on in the field in the realm of navigation.,20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50143,FAA50143,AIR TRAFFIC BASICS (EN ROUTE),90,AMA-500,AMA-513,COURSE,RES,Y,N,,102973,24OCT2016:00:00:00.000,29NOV2016:00:00:00.000,Y,N,,0.948717,0.947761,1,19,37,0.513513,1161123424,23NOV2016:00:00:00.000,28NOV2016:00:00:00.000,Y,5,1,9,End of Course,Resident,Course Curricul,Th,9,Ap,2,Ag,No,Po,1,0,2,216476,5,Statement,28NOV2016:00:00:00.000,N,302,302,53,3,0,0,"Depending on the instructor, we either had too much time or not enough. Often times we were killing time because we breezed through the lesson. On the other hand, another instructor would take up all of our time, not necessarily relating to the course material, and it looked like w",20161024,24OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
50148001,FAA50148001,INITIAL EN ROUTE QUALIFICATION TRAINING,90,AMA-500,AMA-511,COURSE,RES,Y,N,,96950,04OCT2016:00:00:00.000,30DEC2016:00:00:00.000,Y,N,,0.90689,0.910447,1,39,68,0.573529,1161130388,30NOV2016:00:00:00.000,28DEC2016:00:00:00.000,Y,28,0.9375,9,End of Course,Resident,Course Curricul,Th,9,Ap,4,So,Mi,Ne,0,1,4,219954,3,Statement,28DEC2016:00:00:00.000,N,48,48,8,1,0,0,Another week of radar practice would be helpful.,20161004,04OCT2016:00:00:00.000,01OCT2016:00:00:00.000,30SEP2017:00:00:00.000,N,Y,N
